,female,other_race,notchi_school,notchi_home,uni_public,acceptance_rate,music,male,caucasian,african_american,latino,asian,chi_school,chi_home,financial_aid,median_income
310,0,0,1,1,0,11.0,1,1,1,0,0,0,0,0,0.0,102161.0
311,0,0,1,1,1,79.0,0,1,0,0,0,1,0,0,0.0,72682.0
312,1,0,1,1,1,44.0,1,0,1,0,0,0,0,0,0.0,85693.0
313,0,0,1,1,0,29.0,0,1,1,0,0,0,0,0,7.0,81650.0
314,0,1,1,1,1,60.0,0,1,0,0,0,0,0,0,0.0,132754.0
315,1,0,1,1,1,60.0,1,0,0,0,0,1,0,0,0.0,132754.0
316,0,0,0,0,0,8.0,0,1,0,0,0,1,1,1,0.0,28122.0
317,1,0,1,1,1,29.0,1,0,1,0,0,0,0,0,0.0,85155.0
318,0,0,1,1,1,87.0,0,1,1,0,0,0,0,0,0.0,96455.0
319,0,0,1,1,1,79.0,0,1,0,0,0,1,0,0,0.0,123609.0
320,0,0,1,1,0,7.0,1,1,1,0,0,0,0,0,0.0,68760.0
321,0,0,1,1,1,60.0,0,1,1,0,0,0,0,0,0.0,85155.0
322,1,0,1,1,0,13.0,1,0,1,0,0,0,0,0,0.0,71000.0
323,0,0,1,1,0,11.0,0,1,1,0,0,0,0,0,0.0,111059.0
324,1,0,1,1,1,60.0,0,0,0,0,0,1,0,0,0.0,132754.0
325,0,0,1,1,0,36.0,1,1,1,0,0,0,0,0,2.5,48696.0
326,0,1,1,1,0,5.0,0,1,0,0,0,0,0,0,0.0,117473.0
327,1,1,1,1,0,70.0,1,0,0,0,0,0,0,0,10.0,81650.0
328,0,0,1,1,1,79.0,1,1,1,0,0,0,0,0,0.0,111059.0
329,1,1,1,1,0,11.0,0,0,0,0,0,0,0,0,6.0,132754.0
